Order ID;Order Date;Customer Name;Phone;Mail;Segment;Country;City;State;Postal Code;Region;Category;Product Name;Sales;Quantity
CA-2016-152156;8/11/2016;Claire Gute;+424 42052156;ClGute@superstore.com;Consumer;United States;Henderson;Kentucky;42420;South;Furniture;Bush Somerset Collection Bookcase;261,96;2
CA-2016-152156;8/11/2016;Claire Gute;+424 42052156;ClGute@superstore.com;Consumer;United States;Henderson;Kentucky;42420;South;Furniture;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;731,94;3
CA-2016-138688;12/6/2016;Darrin Van Huff;+900 03638688;DaHuff@superstore.com;Corporate;United States;Los Angeles;California;90036;West;Office Supplies;Self-Adhesive Address Labels for Typewriters by Universal;14,62;2
US-2015-108966;11/10/2015;Sean O'Donnell;+333 31108966;SeODonnell@superstore.com;Consumer;United States;Fort Lauderdale;Florida;33311;South;Furniture;Bretford CR4500 Series Slim Rectangular Table;957,5775;5
US-2015-108966;11/10/2015;Sean O'Donnell;+333 31108966;SeODonnell@superstore.com;Consumer;United States;Fort Lauderdale;Florida;33311;South;Office Supplies;Eldon Fold 'N Roll Cart System;22,368;2
CA-2014-115812;9/6/2014;Brosina Hoffman;+900 03215812;BrHoffman@superstore.com;Consumer;United States;Los Angeles;California;90032;West;Furniture;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;48,86;7
CA-2014-115812;9/6/2014;Brosina Hoffman;+900 03215812;BrHoffman@superstore.com;Consumer;United States;Los Angeles;California;90032;West;Office Supplies;Newell 322;7,28;4
CA-2014-115812;9/6/2014;Brosina Hoffman;+900 03215812;BrHoffman@superstore.com;Consumer;United States;Los Angeles;California;90032;West;Technology;Mitel 5320 IP Phone VoIP phone;907,152;6
CA-2014-115812;9/6/2014;Brosina Hoffman;+900 03215812;BrHoffman@superstore.com;Consumer;United States;Los Angeles;California;90032;West;Office Supplies;DXL Angle-View Binders with Locking Rings by Samsill;18,504;3
CA-2014-115812;9/6/2014;Brosina Hoffman;+900 03215812;BrHoffman@superstore.com;Consumer;United States;Los Angeles;California;90032;West;Office Supplies;Belkin F5C206VTEL 6 Outlet Surge;114,9;5
CA-2014-115812;9/6/2014;Brosina Hoffman;+900 03215812;BrHoffman@superstore.com;Consumer;United States;Los Angeles;California;90032;West;Furniture;Chromcraft Rectangular Conference Tables;1706,184;9
CA-2014-115812;9/6/2014;Brosina Hoffman;+900 03215812;BrHoffman@superstore.com;Consumer;United States;Los Angeles;California;90032;West;Technology;Konftel 250 Conference phone - Charcoal black;911,424;4
CA-2017-114412;15/4/2017;Andrew Allen;+280 02714412;AnAllen@superstore.com;Consumer;United States;Concord;North Carolina;28027;South;Office Supplies;Xerox 1967;15,552;3
CA-2016-161389;5/12/2016;Irene Maddox;+981 10361389;IrMaddox@superstore.com;Consumer;United States;Seattle;Washington;98103;West;Office Supplies;Fellowes PB200 Plastic Comb Binding Machine;407,976;3
US-2015-118983;22/11/2015;Harold Pawlan;+761 10618983;HaPawlan@superstore.com;Home Office;United States;Fort Worth;Texas;76106;Central;Office Supplies;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;68,81;5
US-2015-118983;22/11/2015;Harold Pawlan;+761 10618983;HaPawlan@superstore.com;Home Office;United States;Fort Worth;Texas;76106;Central;Office Supplies;Storex DuraTech Recycled Plastic Frosted Binders;2,544;3
CA-2014-105893;11/11/2014;Pete Kriz;+537 71105893;PeKriz@superstore.com;Consumer;United States;Madison;Wisconsin;53711;Central;Office Supplies;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";665,88;6
CA-2014-167164;13/5/2014;Alejandro Grove;+840 08467164;AlGrove@superstore.com;Consumer;United States;West Jordan;Utah;84084;West;Office Supplies;Fellowes Super Stor/Drawer;55,5;2
CA-2014-143336;27/8/2014;Zuschuss Donatelli;+941 10943336;ZuDonatelli@superstore.com;Consumer;United States;San Francisco;California;94109;West;Office Supplies;Newell 341;8,56;2
CA-2014-143336;27/8/2014;Zuschuss Donatelli;+941 10943336;ZuDonatelli@superstore.com;Consumer;United States;San Francisco;California;94109;West;Technology;Cisco SPA 501G IP Phone;213,48;3
CA-2014-143336;27/8/2014;Zuschuss Donatelli;+941 10943336;ZuDonatelli@superstore.com;Consumer;United States;San Francisco;California;94109;West;Office Supplies;"Wilson Jones Hanging View Binder, White, 1""";22,72;4
CA-2016-137330;9/12/2016;Ken Black;+680 02537330;KeBlack@superstore.com;Corporate;United States;Fremont;Nebraska;68025;Central;Office Supplies;Newell 318;19,46;7
CA-2016-137330;9/12/2016;Ken Black;+680 02537330;KeBlack@superstore.com;Corporate;United States;Fremont;Nebraska;68025;Central;Office Supplies;Acco Six-Outlet Power Strip, 4' Cord Length;60,34;7
US-2017-156909;16/7/2017;Sandra Flanagan;+191 14056909;SaFlanagan@superstore.com;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Furniture;Global Deluxe Stacking Chair, Gray;71,372;2
